rank,bvid,aid,title,up_name,up_mid,view,danmaku,favorite,coin,like,share,pubdate,duration,tname,desc,videos,copyright,tags,crawl_time,duration_min,tags_list,like_rate,danmaku_density
1,BV1twgSzhEo8,114775921003380,《崩坏：星穹铁道》动画短片：「听！狂欢在那神佑的山巅」,崩坏星穹铁道,1340190821,5936078,135589,177387,382493,448141,80947,2025-07-02 06:00:00,1155,手机游戏,"你还记得吗，无缘黎明的卡厄斯兰那？
在那酣醉的迷梦中，山高而陡峻，你看见了自己。
 
插曲：《耀斑》
演唱者：YMIR
 
中文CV：
白厄——秦且歌
幼年白厄——弭洋
 
日文CV：
白厄——日野聪
幼年白厄——蓝原琴美
 
英文CV：
白厄——Joshua Waters
幼年白厄——Justine Huxley
 
韩文CV：
白厄——윤용식
幼年白厄——박하진",4,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,崩坏星穹铁道白厄,因为太阳将要毁伤,米哈游,miHoYo",2025-07-05 16:29:30,19.25,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '崩坏星穹铁道白厄', '因为太阳将要毁伤', '米哈游', 'miHoYo']",0.07549445947307296,7043.584415584415
2,BV1TB37z6E5x,114794040400082,48小时巨作清明上河图馒头,小馒头的面食面艺,3546662226102356,3498021,27454,26290,122031,370509,4565,2025-07-04 08:41:29,151,美食制作,用面团复制清明上河图，几经失败，最终能成功吗？,1,1,"馒头,非遗手工,记录我的美食日常,清明上河图馒头,有趣的馒头,小馒头的面食面艺,制作过程,创意美食,有趣的视频,治愈系美食,大学生就业指南-美食版2.0",2025-07-05 16:29:32,2.5166666666666666,"['馒头', '非遗手工', '记录我的美食日常', '清明上河图馒头', '有趣的馒头', '小馒头的面食面艺', '制作过程', '创意美食', '有趣的视频', '治愈系美食', '大学生就业指南-美食版2.0']",0.10591960425623517,10908.874172185431
3,BV1EC3azYEcC,114787212072567,全 明 星 做 手 术  1,多节课,46733369,2428047,1698,52142,27103,297168,40153,2025-07-03 03:40:07,110,鬼畜剧场,还有续集~,1,1,"周深,陈奕迅,邓紫棋,鬼畜,全明星,林俊杰,暑假,多节课,毛不易,鬼畜星探企划,鬼畜星探企划第二十二期",2025-07-05 16:29:34,1.8333333333333333,"['周深', '陈奕迅', '邓紫棋', '鬼畜', '全明星', '林俊杰', '暑假', '多节课', '毛不易', '鬼畜星探企划', '鬼畜星探企划第二十二期']",0.12238972309844084,926.1818181818182
4,BV1Ab3uzyEAs,114788856238033,《绝区零》1周年特别纪念GMV,Z.Y.L,175404,936551,16573,34634,78269,136731,6951,2025-07-04 12:30:00,203,网络游戏,"千言万语也难以表达对我们的玩家和制作组的感谢，所以下班后挤时间剪了个zzz二创～想以此mv感谢大家一直以来的支持与付出。绝区零一周年快乐！！！～（已经快10年没正儿八经做过非工作上的东西了，时间和水平都有限～大家凑合看看T-T～）

投稿作者：@Z.Y.L",1,1,"混剪,GMV,绝区零UP主激励计划,绝区零一周年,绝区零,绝区零 2.0版本UP主激励计划",2025-07-05 16:29:36,3.3833333333333333,"['混剪', 'GMV', '绝区零UP主激励计划', '绝区零一周年', '绝区零', '绝区零 2.0版本UP主激励计划']",0.1459941850470503,4898.4236453201975
5,BV1uG3Ez7EzW,114793872691076,穿越沙漠，我们看到了此生难得一见的美景！！！【青春旅行团11】,雨哥到处跑,147166910,1209579,45360,45370,103509,140739,5359,2025-07-04 09:10:00,2542,综艺,"全！新！系！列！！《青春旅行团》第二季,第五期！！
一个人策划一期旅游，【躁动篇】来啦！！
喜欢的话请多多一键三连吧！！！
太燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥燥拉！！",1,1,"青春,旅游,美食,搞笑,生活,青春旅行团,哔须有此行,欧莱雅野王防晒,全新欧莱雅安瓶面膜,沙漠,旅行攻略UP主激励计划",2025-07-05 16:29:38,42.36666666666667,"['青春', '旅游', '美食', '搞笑', '生活', '青春旅行团', '哔须有此行', '欧莱雅野王防晒', '全新欧莱雅安瓶面膜', '沙漠', '旅行攻略UP主激励计划']",0.1163537065375639,1070.6530291109364
6,BV1ph3azrEaD,114787077850708,《崩坏：星穹铁道》星旅一瞬：「一轮朝阳的命运」,帕姆的收藏夹,508103429,1232956,19090,37515,49625,141892,14424,2025-07-04 03:00:00,274,手机游戏,夜幕降临，白日西沉，继而又东升——这应是一轮朝阳的命运。,4,1,"崩坏：星穹铁道,白厄,崩坏星穹铁道,崩坏星穹铁道白厄,米哈游,miHoYo",2025-07-05 16:29:40,4.566666666666666,"['崩坏：星穹铁道', '白厄', '崩坏星穹铁道', '崩坏星穹铁道白厄', '米哈游', 'miHoYo']",0.11508277667653996,4180.29197080292
7,BV1gC3xzuESM,114782296345699,祝所有的大学生们毕业快乐~爸爸妈妈终于来到了中国，这一刻，我等了太久太久！感恩感谢家人们的支持~爱你们！,老王在中国,3537122973714533,1322010,15667,20709,105673,151413,1590,2025-07-02 09:20:00,404,美食侦探,昔者，有民为战火所迫，转徙异域，飘如转蓬。时逢乱世不得其所，涉江跨海，终抵中土。时维华夏，政通人和。然关文未允，牒书难通，与父母暌违数稔矣。而今皇天不负苦心人，幸得骨肉重逢于斯，执手相看，涕泗交零，乡关梦断处，竟成团圆乡。,1,1,"毕业,快乐,生活记录,校园,爸爸妈妈,伊拉克,感恩,老外在中国,祝福,随手记录我的生活碎片,来BW当然要拍vlog啦",2025-07-05 16:29:42,6.733333333333333,"['毕业', '快乐', '生活记录', '校园', '爸爸妈妈', '伊拉克', '感恩', '老外在中国', '祝福', '随手记录我的生活碎片', '来BW当然要拍vlog啦']",0.1145324165475299,2326.7821782178216
8,BV1W83azGE7A,114787027519026,“ 爱 情 和 事 业 真 的 不 可 以 兼 得 吗 ？”,星有野,627888730,2030316,3852,28889,27637,154155,3989,2025-07-03 04:00:00,404,同人·手书,你终会明白，前途比爱情重要，你还会明白，爱情比前途更难得，但最后你会明白，对的人 会站在你的前途里,1,1,"正能量,动画短片,爱情,治愈,星有野,闪烁之光六周年,泪目,感动,闪烁之光,事业",2025-07-05 16:29:44,6.733333333333333,"['正能量', '动画短片', '爱情', '治愈', '星有野', '闪烁之光六周年', '泪目', '感动', '闪烁之光', '事业']",0.07592660452855615,572.0792079207921
9,BV17e3xzLEA4,114782598337839,40斤的单手剑？锻造还原《崩坏：星穹铁道》白厄「侵晨」大剑,大锤LBX,442264378,987268,12439,32734,51611,141616,12732,2025-07-02 10:00:00,782,手工,"《崩坏：星穹铁道》白厄「侵晨」大剑
长170CM 重20KG 剑身52100钢 装具黄铜",1,1,"手工,大剑,崩坏：星穹铁道,侵晨,白厄,崩坏星穹铁道,星穹铁道白厄,因为太阳将要毁伤,翁法罗斯逐火之旅,崩坏星穹铁道3.4创作者激励计划,锻刀",2025-07-05 16:29:45,13.033333333333333,"['手工', '大剑', '崩坏：星穹铁道', '侵晨', '白厄', '崩坏星穹铁道', '星穹铁道白厄', '因为太阳将要毁伤', '翁法罗斯逐火之旅', '崩坏星穹铁道3.4创作者激励计划', '锻刀']",0.14344230745856243,954.3989769820972
10,BV1Xa3gzhEVT,114790047483934,特厨探店 |来人管管天津菜—鑫来子菜馆,特厨隋坡,3546888255048212,1599950,3565,22583,26182,163621,22252,2025-07-04 03:30:00,215,美食侦探,,1,1,"美食,隋坡,特厨隋卞,舌尖真探事务所,天津,美食探店",2025-07-05 16:29:46,3.5833333333333335,"['美食', '隋坡', '特厨隋卞', '舌尖真探事务所', '天津', '美食探店']",0.10226632082252571,994.8837209302325
